gene,alias,gene_group,cell_type,pathway,tme_subtype,prognostic_significance,source_article,provenance,is_housekeeping
KIT,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
KITLG,,kotlov_FGES_granulocyte_traffic,none,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
ADM,,kotlov_FGES_hypoxia,none,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
CA9,,kotlov_FGES_hypoxia,none,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
HIF1A,,kotlov_FGES_hypoxia,none,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
LDHA,,kotlov_FGES_hypoxia,none,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
SLC2A1,,kotlov_FGES_hypoxia,none,none,mesenchymal,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
IFI27,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
IFI44,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
IFIT1,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
IFIT3,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
IRF7,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
ISG15,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
MX1,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
OAS1,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
STAT1,,kotlov_FGES_interferon,none,interferon,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",canonical_marker,False
ARG1,,kotlov_FGES_macrophages,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CD163,,kotlov_FGES_macrophages,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CSF1,,kotlov_FGES_macrophages,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CSF1R,CD115,kotlov_FGES_macrophages,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
IL10,,kotlov_FGES_macrophages,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MRC1,CD206,kotlov_FGES_macrophages,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
MSR1,,kotlov_FGES_macrophages,macrophage,none,inflammatory,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",kotlov_table_s1,False
CCND3,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
CD70,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
CD79B,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
CDKN2A,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
CREBBP,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
EP300,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
EZH2,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
GNA13,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
GNAI2,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
KMT2D,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
MYD88,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
P2RY8,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
TP53,,kotlov_curated_alterations,none,epigenetic,none,none,"Kotlov et al. 2021 Cancer Discov, PMC8178179",article_text,False
